Subcategory,RQ,Axial Code,Initial Code,Full code name,Definition,Tweaks/ideas/notes (w/ initials)
"",N,A-CSD,A-CSD,Aware of CSDisseminate,"Familiar with CSDisseminate, heard of the website, group (not necessarily used it though)",""
"",N,A-OS,A-OA,Awareness - Open Access,Participant is aware of open access,""
"",N,A-OS,A-OD,Awareness of Open Data,Aware of open data process and/or components,""
"",N,A-OS,A-OS,Awareness of Open Science Practices,Stating that they know open science practices exist,""
"",N,A-OS,A-SA,Awareness - Self-archiving,Participant expresses that they have looked at others' self-archived work or know that self-archiving exists but don't mention doing it themselves,""
1.2 - Working with others,"1,2",B-AM,B-AM,Barrier - Access to Manuscript,"The participant has not received, or cannot obtain the manuscript (pre- or post-print) to self-archive",""
1.5 - Personal,"1,2",B-C,B-C,Barrier - Competiton,"Participant expresses that engaging in an OS practice could/has made them vulnerable to competitive researchers/labs, which makes them not want to engage in the OS practice",""
1.2 - Working with others,"1,2",B-CBI,B-CBI,Barrier - Collaborators Buy In,Difficulty with buy-in from collaborators or coauthors,""
1.3 - Study components,"1,2",B-CM,B-CM,Barrier - Change Methods,"Participant concerned (e.g., about preregistration) b/c they may change their methods later",""
1.3 - Study components,"1,2",B-CR,B-CR,Barrier - Copyright,Research/data cannot be shared due to copyright,""
"","1,2",B-D,B-D,Barrier - Different,Participant describes a barrier to using OS practices is that it's not how they've done research before,Note that this is different from referring to their previous training (ex. not being trained previously in OS practices)
"","1,2",B-DI,B-DI,Barrier- Data Interpretation,Participant expresses that a barrier to using an OS practice is that someone won't know how to correctly interpret the data and/or information shared,""
1.5 - Personal,"1,2",B-F,B-F,Barrier - Fear,"Participant expresses that fear is a barrier to engage in an OS practice, fear of reprocussions (i.e., getting sued from journals)",""
1.3 - Study components,"1,2",B-FR,B-FR,Barrier - Formatting Requirements,Participant expresses that formatting requirements for data is a barrier for engaging in an OS practice.,Example: formatting data for a repository
"1.1 - Expectations, policies, regulations","1,2",B-I,B-I,Barrier - Institutional,Participant describes a barrier to engaging in an OS practice that is related to rules/regulations/procedures of their institution (consider extending the B-LIS code),""
"1.1 - Expectations, policies, regulations","1,2",B-I,B-IRB,Barrier - IRB,"IRB is a barrier to adopting OS practices (e.g., IRB rules prevent sharing of data)",""
1.3 - Study components,"1,2",B-ID,B-ID,Barrier - Identifiable Data,"A barrier to OS (e.g., open data sharing) is identifiable data, such as audio recordings",""
"","1,2",B-KOP,B-KJP,Barrer - Knowledge Journal Policies,"Participant does not have the knowledge of the journal policies, OR that having to seek out the journal policies is a barrier",""
"","1,2",B-KOP,B-KOP,Barrier - Knowledge of Procedures,Opposite of F-KOP. Participant expresses that a lack of knowledge of procedures for using OS practices prevents them from using these practices.,""
"","1,2",B-KOP,B-W,Barrier - Where,"Participant expresses they don't know where to post preregistrations, self-archived manuscripts, their data, open educational resources, etc.",""
"","1,2",B-LOB,B-LOB,Barrier - Lack of Benefit,"Participant expresses that they do not see much benefit, or they do not know the benefits to themselves, to using an OS practice",""
1.5 - Personal,"1,2",B-LOC,B-LOC,Barrier - Lack of Confidence,Participant expresses concern about engaging in OS due to lack of confidence/imposter syndrome related to their own research skills/abilities,Maybe this can also include when participants express that they feel like a lousy/bad researcher when they don't engage in an OS practice
1.3 - Study components,"1,2",B-LOO,B-LOO,Barrier - Lack of Organization,Participant expresses that their organizational practices are a barrier to engaging in an OS practice.,""
