"","Subcategory","RQ","axialCode","initialCode","codeName","definition","N","Examples"
"1","","N","A-CSD","A-CSD","Aware of CSDisseminate","Familiar with CSDisseminate, heard of the website, group (not necessarily used it though)",1,"I'm familiar with CSDisseminate."
"2","","N","A-OS","A-OA","Awareness - Open Access","Participant is aware of open access ",1,"the first is publish in open access journals. "
"3","","N","A-OS","A-OD","Awareness of Open Data","Aware of open data process and/or components",3,"But it's just kind of maybe thrown in like if in a presentation, or you know a talk, someone will say, well, I use you know our RHD Bank, or whatever Aphasia Bank, so you should consider that as well. // The only thing different is that I'd say my main source of familiarity with open access is  through the talk bank records. // I think it's just sharing the data"
"4","","N","A-OS","A-OS","Awareness of Open Science Practices","Stating that they know open science practices exist",3,"I know that open science exists // But it wasn't really emphasized or not right, encouraged very much. So otherwise. Yeah. What, a Webinar here, there, some podcasts, and then seeing things on Twitter. People encouraging open science practices. // What I was just gonna share was I have not had direct training either, like like some of the others, but mostly experience, I guess exposure at conferences, and then but very little, I would say."
"5","","N","A-OS","A-SA","Awareness - Self-archiving","Participant expresses that they have looked at others' self-archived work or know that self-archiving exists but don't mention doing it themselves",1,"I also really have looked at a lot of pre-prints. I think that is a great practice."
"6","1.2 - Working with others","1,2","B-AM","B-AM","Barrier - Access to Manuscript","The participant has not received, or cannot obtain the manuscript (pre- or post-print) to self-archive",1,"But then often I'm depending on them to send me the accepted manuscript. And either they don't get around to it"
"7","1.6 - Attitudes","1,2","B-C","B-C","Barrier - Competiton","Participant expresses that engaging in an OS practice could/has made them vulnerable to competitive researchers/labs, which makes them not want to engage in the OS practice",2,"I think one of the barriers is is the value of the data set. I always feel that there is more in it than this. Just this one publication. So I'm, for for those reasons I'm reluctant to sharing, because I always think like there's like two more publications in this data set. So why would I give that away? // And then, I think, like some sort of amorphous concern that putting it out there. And I I think this is probably something that's not grounded in any sort of reality. But like that, putting it out there will give somebody else the idea to then run away with my project. That isn't really the main barrier. It's just kind of like this back of my mind kind of thought."
"8","1.2 - Working with others","1,2","B-CBI","B-CBI","Barrier - Collaborators Buy In","Difficulty with buy-in from collaborators or coauthors",3,"it's been an interesting experience actually having to stick to those rules and and convincing everyone on the team that right, like there's a reason that we're doing that // And like I said, I'm doing this for the first time right now. And it is it's interesting how I'm working with these two people, and I have one person who is not comfortable sticking to what we said we are going to do, and this is a very famous person in our field who is very well established. // or don't feel like it, or they're not on board, so that's been a barrier that I've encountered."
"9","1.3 - Study components","1,2","B-CM","B-CM","Barrier - Change Methods","Participant concerned (e.g., about preregistration) b/c they may change their methods later",6,"And concern that my methods and analysis plan will need to shift between preregistration and publication // My methods changed mid-dissertation. My analysis plan changed mid-dissertation. I know that's poor quality, because, you know, obviously I should have all of that outlined ahead of time, and I should be held accountable to following those, you know, procedures. // My plan A probably isn't going to work out. You know. How do I shift away from something if it's preregistered and written in stone? // And like I said, I'm doing this for the first time right now. And it is it's interesting how I'm working with these two people, and I have one person who is not comfortable sticking to what we said we are going to do, and this is a very famous person in our field who is very well established. // : Yeah I mean, it goes back to what someone is saying about like you're not sure what you're gonna do with the stats like. You might make some statistical decision, and it's not the right one.  // If there's any changes from your preregistration, and you're writing it in your manuscript, you tend to have to take the space to then explain that the differences between what you preregistered and what actually happened. So, depending on word count and things like that that could potentially be a barrier."
"10","1.3 - Study components","1,2","B-CR","B-CR","Barrier - Copyright","Research/data cannot be shared due to copyright",2,"I can just talk about one specific barrier that I've experienced, which is, I am my dissertation, study, or part of my dissertation study was a replication of somebody else's work with a slightly different population and slightly different methods. And so, when I wanted to share some of those methods, they were still under copyright from their from their published work, they they had given them to me so that I could use them. But I couldn't share them sort of openly and publicly. So that was a barrier that I've experienced. // One quick one. Copyright of stimuli. So, I use stimuli that I'm really interested in natural speech perception. And so, we actually use some movie clip stimuli that are copyrighted. I think, under fair use it's fine to use them, but I can't share. I'm pretty sure that I can't share the stimuli online, but that would be super important for anybody who wants to use the raw data instead of just derived data that I've created."
