id,focus_group,job_title,edu,degree_awarded,edu_class,years_emp_current,research_percent,teaching_percent,service_percent,years_emp_total,research_exp,current_inst_class,current_inst_class_2,region,research_area,assistant_pubs,total_pubs,fam_os,use_os,age,gender,ethnicity,middle_eastern_text,asian_text,black_text,hispanic_text,native_american_text,pacific_islander_text,white_text,other_eth_text,race
33,R1,Assistant Professor,PhD,2021,Other,0.33,70,20,10,0.33,9,R1,,Northeast,Articulation/speech science,3,23,Somewhat Familiar,Rarely,33,Woman,White or European American,,,,,,,,,White
33,R1,Assistant Professor,PhD,2021,Other,0.33,70,20,10,0.33,9,R1,,Northeast,Neurogenic communication disorders,3,23,Somewhat Familiar,Rarely,33,Woman,White or European American,,,,,,,,,White
23,R1,Assistant Professor,PhD,2018,R1,1,50,40,10,3,9,R1,,Southeast,Cognitive aspects of communication,4,23,Somewhat Familiar,Often,36,Man,Asian or Asian American,,,,,,,,,Asian
23,R1,Assistant Professor,PhD,2018,R1,1,50,40,10,3,9,R1,,Southeast,Hearing and/or balance,4,23,Somewhat Familiar,Often,36,Man,Asian or Asian American,,,,,,,,,Asian
21,R1,Assistant Professor,MD/PhD,2012,R1,2,80,10,10,6,11,R1,,Northeast,Cognitive aspects of communication,16,15,Moderately Familiar,Often,39,Woman,Asian or Asian American,,Chinese,,,,,,,Asian
21,R1,Assistant Professor,MD/PhD,2012,R1,2,80,10,10,6,11,R1,,Northeast,Language learning and/or language disorders,16,15,Moderately Familiar,Often,39,Woman,Asian or Asian American,,Chinese,,,,,,,Asian
21,R1,Assistant Professor,MD/PhD,2012,R1,2,80,10,10,6,11,R1,,Northeast,Social aspects of communication,16,15,Moderately Familiar,Often,39,Woman,Asian or Asian American,,Chinese,,,,,,,Asian
22,R1,Assistant Professor,PhD,2022,R1,0.5,45,50,5,0.5,10,R1,,Southeast,Articulation/speech science,0,2,Somewhat Familiar,Rarely,32,Woman,White or European American,,,,,,,White,,White
22,R1,Assistant Professor,PhD,2022,R1,0.5,45,50,5,0.5,10,R1,,Southeast,Cultural/linguistic diversity,0,2,Somewhat Familiar,Rarely,32,Woman,White or European American,,,,,,,White,,White
22,R1,Assistant Professor,PhD,2022,R1,0.5,45,50,5,0.5,10,R1,,Southeast,Language learning and/or language disorders,0,2,Somewhat Familiar,Rarely,32,Woman,White or European American,,,,,,,White,,White
22,R1,Assistant Professor,PhD,2022,R1,0.5,45,50,5,0.5,10,R1,,Southeast,Speech development and/or speech sound disorders,0,2,Somewhat Familiar,Rarely,32,Woman,White or European American,,,,,,,White,,White
27,R1,Assistant Professor,PhD,2015,R1,3,46,44,10,3,11,R1,,Southeast,AAC (augmentative and alternative communication),9,13,Slightly Familiar,Never,44,Woman,White or European American,,,,,,,White,,White
27,R1,Assistant Professor,PhD,2015,R1,3,46,44,10,3,11,R1,,Southeast,Language learning and/or language disorders,9,13,Slightly Familiar,Never,44,Woman,White or European American,,,,,,,White,,White
27,R1,Assistant Professor,PhD,2015,R1,3,46,44,10,3,11,R1,,Southeast,Social aspects of communication,9,13,Slightly Familiar,Never,44,Woman,White or European American,,,,,,,White,,White
24,R1,Assistant Professor,PhD,2015,R1,4.5,50,40,10,4.5,12.5,R1,,Northeast,Speech development and/or speech sound disorders,10,22,Somewhat Familiar,Rarely,42,Woman,White or European American,,,,,,,,,White
