"","Transcript","Participant","Comment","commentNumber"
"1","R1_1","F","F: Okay. let's go ahead and begin our first question. Open Science refers to a collection of research practices that aim to increase the accessibility, transparency, and replicability of science. What experiences have you had using open science practices? If any. And again you can just unmute and go ahead and jump in.",1
"2","R1_1","19","19: Hi all I'm. X, Can you hear me? Okay.",2
"3","R1_1","F","F: Yes.",3
"4","R1_1","19","19: Okay, great. I...I have such limited experience with open science, and I think one of the most relevant contributions to that question that I could make is that I had a PI once pay for open access to...for for our manuscript to be openly accessible post publication. So I know that that's possible. I know it's quite expensive, and I know that without funding from the institution under which the research was conducted and the PI's willingness to devote funding to that, we likely wouldn't have been able to take advantage of that option.",4
"5","R1_1","F","F: Thank you, X. Other experiences with open science practices?",5
"6","R1_1","20","20: Hi! Oh, go ahead!",6
"7","R1_1","21","21: Oh, thank you. So I'm X. I am at X University, so I have encouraged my students to do pre-registration for the manuscripts they are working on, and so I also have taught how to do pre-registration in a course. And for Ph. D. students. And I have also done some code-based...code code base using Github and train my students how to use Github, how to collaborate, and how to how to increase the transparency of their research. So in our published papers we have a shared all of our codes for experimental paradigms, and all the and also all the analysis scripts are available on both open science framework and also Github. And I have also paid the open access fee. A lot. And so, I'm also looking for recommendations about how to make this sustainable for our research group.",7
"8","R1_1","F","F: Thank you. And X, was that you that wanted to chime in? Go ahead.",8
"9","R1_1","20","20: Yeah, sure. I'm X. Nice to meet you all. I'm at X. And I guess I use very similar practices. So, I'd say most of my open science practices would be related to code sharing and data sharing so either on...I guess all of the data sharing I've done so far has been on osf.io. That website. I know that there are other websites that can be used, and I'm kind of not sure what...There are many options, and so I think I just kind of chose this one because it was free and easy to use. But I know that from my own field there's also open neuro, I think, has data sharing, and I haven't used that yet. But things like that. And then yes, we also have a lab Github, where, even as we're doing our analyses, I have all of my students use Github to have version controlled code. Usually we don't work completely openly at the beginning. So we will have private repositories for code while we're working on them. And then, when we are ready to submit our paper, we will make the publication ready one that can be reviewed. So, I know that some people do fully open as they're going, but we tend to, you know, have our sort of in-house version of the code and then our camera-ready version when we're happy with it. We put that as the public one that's released with the paper, or released during the review. The only problem I've had with that is recently I submitted to a conference where they required double blind review. And then it's kind of not possible to ha...I don't know how to do the double-blind code because there was no way to upload it, so we just didn't include it. But I felt like that was kind of a missed opportunity. So, if people know and have dealt with that, I'd love to hear that.",9
"10","R1_1","F","F: Thank you so much for sharing that. Oh, go ahead.",10
"11","R1_1","21","21: I'm just responding to X’s last comment. We were also asked to share our codes and our our experimental paradigms that have to be reviewed double in a double-blind fashion, and there are ways on OSF. You can create a double blind link without seeing the uploaders’ ID. Github, it's impossible.",11
"12","R1_1","F","F: Thank you for sharing that. Are there any other experiences the group would like to share using open science practices?",12
"13","R1_1","22","22: So hi everybody! My name is X. Just finished my first semester at X University. And I guess my experiences have been varied. So, I have a preprint of my Thesis Masters. So that's that's something that I did early on without really even knowing what open science was. And then during my doctorate, so I first published on data that was collected before I was there, and we did have someone reach out for the data. But it just never happened, and I know that we tried to publish like, trying to put something and register some...a couple of manuscripts, but it didn't happen because it was taking away time from the actual manuscript. I think part of the thing that we ran into is that all of us were learning how to do open science, including my PI. And there was a lot of hesitancy there of like, what do we need to do? What, what's good to put in? And then also just making sure that you're selecting the right area. So, like I do a lot in language and literacy and speech, and so like I know OSF is a good one, but I think there's a couple of new ones that have started that are specific more for that area. And then, like my dissertation data, I have it in my IRB that I can do it. But you know, life got in the way, and it just didn't happen, because it is something new, and it takes more effort. And I had to finish over that. So I kinda had to make choices along the way, but definitely would love to do that. And then, actually, in my Phd program, I learned how to use GitHub. But my PI didn't use R or anything like that. And so then it became more of like a niche for me, and no one used it, and so I haven't used it for a while. But I need to get back to it as I am starting to do a lot on my own. So, I've had like sprinklings of it, but not a whole lot of like follow through, and success with it so definitely an area I want to establish myself in, because I want this to happen. But I think I'm just like at the point where I'm I'm unsure, and we love support and resources to like guide me. Kind of like you're on the right track. Keep going! So that's where I'm at with it.",13
"14","R1_1","F","F: It looks like we lost Danika. I’ll text her. But I’m still taking notes and we’re still recording.",14
"15","R1_1","23","23: Oh, hi. Okay. Okay, yeah. So so I'm X at X University. So I also have like very limited experience with using like like open science. To me, there's like 2 parts: the first is publish in open access journals. So that's something, I think, as a very junior PI that's kind of a financial burdens a lot. So because, like where my PI has a lot of money. So I don't need to worry about that. But like for myself, that's something I think will be something I need to consider seriously when I’m thinking about which journal to submit to. So for the other part, I think it's just sharing the data, sharing the XX. I only recently try to kind of sharing my data for one of my recent papers...sharing the data and sharing also the experiment paradigm. There's a some...I think feels... the different platform, since had different requirements or different, like storage limit, like, for example, if we do each data. They're just huge. But for some of the platforms, they don't give you that amount of storage limit. Which is kind of a limit for some of them. So that's something I can...as I'm learning the process. I feel like I'm still trying to figure out which would be a good platform kind of, for sharing the data.",15
"16","R1_1","20","20: I guess...I had one more to share that. I forgot. Oh, sorry, X, you were going to go. Why, don't you go instead?",16
"17","R1_1","24","24: Oh, okay, all right. I was gonna say that I had attended one of the CSDisseminate workshops a couple of years ago that talked about how to figure out which version of your papers you're legally allowed to share, and I thought that was really helpful. And spent some time kind of going through my publications and figuring that out. And then never quite got to the point of getting everything posted on my website. But...on my lab website. But it's something that's on my To Do List. It's just been something that's been pushed to the bottom of the To Do List for kind of a long time, because it's really time consuming to go through all of those old papers and figure out, where is that final version of the accepted manuscript? And like figuring out the different things for different journals. So it's really just been sort of a time limitation that's kind of prevented me from following through on doing that at this point, even though I'd like to. Many of my papers are also one PubMed Central, because they were affiliated with an NIH-funded study. So I feel like I personally have a better understanding of of that of the publication open science possibilities. And I I haven't a lot of the data sharing kinds of things that others have talked about, and so that that feels to me more overwhelming at the moment in terms of knowing what to do and looking at the new NIH Grant requirements. There's a new like data sharing plan form that's much more in depth in talking about like repositories and things like that. And I I don't even know where sort of to begin with that at this point. I have to do some work in the next couple of months before my next submission to figure out exactly what is meant...I'm meant to do with that. So...motivated to learn. But I I do feel like there's a big learning curve and time commitment associated with figuring it all out.",17
"18","R1_1","F","F: Thank you for sharing great. So that kind of leads us into our next question, which I'm. Going to move us to for time's sake. What training experiences have you had, if any, about open science practices?",18
"19","R1_1","22","22: I guess my only formal one was in my stats courses that we used Github, but otherwise I haven't had any formal education about that. So.",19
"20","R1_1","20","20: This is kind of incidental, I guess I I would say similarly. I don't remember, if I had formal training on it. But I have been involved in a summer workshop called Neuro Academy, which is at the University of Washington. And they, it's very much about open science practices and the open Science community, and particularly code replicability and science replicability. And so I have been an instructor there. And so I've watched other people give talks, and that's actually helped me learn as well, even though I was not formally a student. But that's a great group.",20
"21","R1_1","F","F: Thank you. Any other trainings that anyone has received?",21
