F,Code abbreviation,Full code name,Definition,Tweaks/ideas/notes (w/ initials),,Consensus?,,,,,,,,,,,,,,,,,,,,,
Consensus,A-CSD,Aware of CSDisseminate,"Familiar with CSDisseminate, heard of the website, group (not necessarily used it though)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,A-OA,Awareness - Open Access,Participant is aware of open access ,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,A-OD,Awareness of Open Data,Aware of open data process and/or components,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,A-OS,Awareness of Open Science Practices,Stating that they know open science practices exist,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,A-SA,Awareness - Self-archiving,Participant expresses that they have looked at others' self-archived work or know that self-archiving exists but don't mention doing it themselves,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,Anx-PR,Anxious about Preregistrations,Participant expresses anxiety over preregistrations,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-AM,Barrier - Access to Manuscript,"The participant has not received, or cannot obtain the manuscript (pre- or post-print) to self-archive",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-C,Barrier - Competiton,"Participant expresses that engaging in an OS practice could/has made them vulnerable to competitive researchers/labs, which makes them not want to engage in the OS practice",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-CBI,Barrier - Collaborators Buy In,Difficulty with buy-in from collaborators or coauthors,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-CM,Barrier - Change Methods,"Participant concerned (e.g., about preregistration) b/c they may change their methods later",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-CR,Barrier - Copyright,Research/data cannot be shared due to copyright,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-CX,Barrier - Complex,"Participant describing that a barrier to engaging in an OS practice is that it is complex, multiple steps, or that it takes additional effort",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-D,Barrier - Different,Participant describes a barrier to using OS practices is that it's not how they've done research before,Note that this is different from referring to their previous training (ex. not being trained previously in OS practices),,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-DI,Barrier- Data Interpretation,Participant expresses that a barrier to using an OS practice is that someone won't know how to correctly interpret the data and/or information shared,,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-F,Barrier - Fear,"Participant expresses that fear is a barrier to engage in an OS practice, fear of reprocussions (i.e., getting sued from journals)",,,TRUE,,,,,,,,,,,,,,,,,,,,,
Consensus,B-FR,Barrier - Formatting Requirements,Participant expresses that formatting requirements for data is a barrier for engaging in an OS practice.,Example: formatting data for a repository,,TRUE,,,,,,,,,,,,,,,,,,,,,
