Page,Line,Author,Date & Time,Comment,Reference Text
1,9,Austin Thompson,9/21/2023 14:05,PE-PR,My first experience with open science has been publishing a protocol for a scoping review on Open Science Framework.
1,12,Austin Thompson,9/21/2023 14:06,"PE-OM, PE-OD",I have a couple of papers that have like R scripts and data files on an OSF repository.
1,14,Austin Thompson,9/21/2023 14:06,PE-OM,"Yeah, I've been trying to publish code associated with with papers usually on OSF"
1,15,Austin Thompson,9/21/2023 14:06,PE-SA,as well as make free versions of our papers available. And sometimes pre-prints available as well.
1,17,Austin Thompson,9/21/2023 14:07,PE-SA,"We do pre-prints for everything these days on site archive or OSF,"
1,18,Austin Thompson,9/21/2023 14:07,PE-OM,"I've been trying to get better at putting the code up for R up on OSF. We've been getting more consistent with that,"
1,19,Austin Thompson,9/21/2023 14:07,PE-SA,but we do put all of our accepted papers that are unformatted on there as well as pre-prints.
1,21,Austin Thompson,9/21/2023 14:10,PE-PR,"And we've been trying to get better at doing registered, pre registered reports and things like that on OSF, wherever it's, wherever we're looking at archive data."
1,25,Austin Thompson,9/21/2023 14:10,PE-OM,"I was gonna add that I try to really could as much supplemental and extra appendices like things, if I have work that I think is clinically relevant, or I want to be able to have SLPs who are going to be able to try to replicate our use. So I try to add as much as I can"
1,26,Austin Thompson,9/21/2023 14:11,MUR,So I try to add as much as I can and then also trying to share publications.
1,29,Austin Thompson,9/21/2023 14:13,"WTL-OS, U-OS, LPE-OS","But I also know that I have a lot to learn about open science and want to improve those practices. So I feel like I think I do more than I realize, but I I consider myself as being new to this area, and wanting to learn and grow and figure out how to do it better."
1,32,Austin Thompson,9/21/2023 14:15,WTL-OS,I agree with that. And part of the reason I participated in the focus group is to learn more about what other people are doing.
1,35,Austin Thompson,9/21/2023 14:15,DUR,"We've been working to have all of Our MRIs and EPRIMES uploaded to a platform which isn't exactly open. You still have to request access, but it's all of the raw data."
1,37,Austin Thompson,9/21/2023 14:15,LPE-OS,"I actually haven't used a lot of open science practices myself, I would say."
1,38,Austin Thompson,9/21/2023 14:16,"TE-OS, TE-LFO","I think I've benefited from other people using it, which is helpful to to see how useful it can be"
1,39,Austin Thompson,9/21/2023 14:16,M-OS,"and does motivate me to to learn more about it, and to use use more of them, I guess."
1,41,Austin Thompson,9/21/2023 14:17,"U-OS, WTL-OS",There probably are some pieces that I'm already doing at parts of and need some more knowledge to to use more open open practices.
2,1,Austin Thompson,9/21/2023 14:25,IOS-CB,"Yeah, I've definitely looked at other people's code and taken pieces of code."
2,4,Austin Thompson,9/21/2023 14:25,IOS-Tr,"And I really like when people publish stimuli because that's always a big thing that I think about is they get these results. And what stimuli did they actually use? And how does that compare to my, the stimuli that I've used? "
2,5,Austin Thompson,9/21/2023 14:26,A-SA,I also really have looked at a lot of pre-prints. I think that is a great practice.
2,6,Austin Thompson,9/21/2023 14:27,"B-OS, B-CX","I mean, I'm sure we'll get into some of this, but so overwhelming to think about where to start with these things right?"
2,7,Austin Thompson,9/21/2023 14:27,IOS-CB,"And so...but it is nice to to see how it's helped me, and so hopefully, that will be something I can use in the future."
2,18,Austin Thompson,9/21/2023 14:28,PE-SA,"Okay, just one paper I'm on. We have a Pre print"
2,23,Austin Thompson,9/21/2023 14:29,"PE-OD, P-OD","and a new IRB protocol we submitted has built into the consent, a place where they can consent to their data being made publicly available. This is one thing we've kind of struggled within the past is whether it is a violation of people's consent to put their MRI scans online for clinical populations, for example, even if their skull stripped and everything if they didn't consent. So there are some like gray areas where we weren't quite sure what to do. So now we're trying to be more explicit. Upfront."
2,24,Austin Thompson,9/21/2023 14:30,IOS-CB,But yeah. I agree also with X that I've benefited from other people posting their things online.
2,27,Austin Thompson,9/21/2023 14:31,IOS-CB,"being a consumer specifically of code, has been really, really useful for me."
2,28,Austin Thompson,9/21/2023 14:31,I-OD,And then also trying to work language into the IRB to be more open with data going forward as a goal.
2,31,Austin Thompson,9/21/2023 14:32,"B-OD, B-IRB","Yeah, it's definitely a moving target with IRBs. We've we've had some issues with that for sure. So we're working on it. But it's it's a hard one."
2,33,Austin Thompson,9/21/2023 14:33,PE-OA,And the other experience I've had is paying multiple thousands of dollars for open access to things which I'm sure people here have done also
2,35,Austin Thompson,9/21/2023 14:33,"B-OA, B-M, IE-OA","which is a huge barrier for those of us who are all early in our career, because it's like, don't know how much I have laying around. That's, you know, $12,000 for 4 papers. So that's the other fun experience I've had."
2,38,Austin Thompson,9/21/2023 14:34,IOS-CB,Being a consumer is something that I've done particularly with stimuli for experiments.
2,39,Austin Thompson,9/21/2023 14:34,"TE-W, R-UCSD",I took the CSDisseminate I guess zoom presentation about how to make your website have all of the articles on it.
2,40,Austin Thompson,9/21/2023 14:36,"PE-SA, PW",And so my lab website includes links to download the freely available version of our published papers.
2,42,Austin Thompson,9/21/2023 14:37,MUR,But then also we created a Google form that allows people to add their email address requesting papers that are not publicly available so that we can send them to them another way.
3,3,Austin Thompson,9/21/2023 14:38,"TE-W, R-UCSD","For me, the only explicit training experiences would have been through CSDisseminate webinars."
3,9,Austin Thompson,9/21/2023 14:39,"TE-CP, R-UCSD","I’ve had a few trainings at conferences. Some through CSDisseminate, but also at ASNR, the  American Society for Neurorehabilitation. They have some talks usually about big data and trying to use consistent outcome measures. And open science practices."
3,11,Austin Thompson,9/21/2023 14:40,"TE-SM, TE-CP",Mine's been like 99% twitter and 1% conference probably. If I'm being honest.
3,13,Austin Thompson,9/21/2023 14:40,TE-SM,"Yeah, I I echo the big social media influence for open science."
3,14,Austin Thompson,9/21/2023 14:41,R-UCSD,And then also the CSDisseminate events.
3,23,Austin Thompson,9/21/2023 14:42,"TE-NT, A-OS","What I was just gonna share was I have not had direct training either, like like some of the others, but mostly experience, I guess exposure at conferences, and then but very little, I would say."
